3608,51-2,1117.0,+1809,elliptical Gal
3610,270-1,1118.4,+5847,elliptical Gal
3613,271-1,1118.6,+5800,elliptical Gal
3619,244-1,1119.4,+5646,spiral Gal
3621,241-1,1118.3,+3249,spiral Gal
3626,52-2,1120.1,+1821,spiral Gal
3628,8-5,1120.3,+1336,spiral Gal edge-on
3631,226-1,1121.0,+5310,spiral Gal face-on
3640,33-2,1121.1,+0314,elliptical Gal
3655,5-1,1122.9,+1635,spiral Gal
3665,219-1,1124.7,+3846,elliptical Gal
3675,194-1,1126.1,+4335,spiral Gal elongated
3686,160-2,1127.7,+1713,spiral Gal
3726,730-2,1133.3,+4702,spiral Gal round
3729,222-1,1133.8,+5308,peculiar nebulae
3810,21-1,1141.0,+1128,spiral Gal
3813,94-1,1141.3,+3633,spiral Gal oval
3877,201-1,1146.1,+4730,spiral Gal elongated
3893,738-2,1148.6,+4843,spiral Gal elongated
3898,228-1,1149.2,+5606,spiral Gal
3900,82-1,1149.2,+2701,spiral Gal near 3912
3912,342-2,1150.0,+2629,spiral Gal near 3900
3938,203-1,1152.8,+4407,spiral Gal elongated
3941,173-1,1152.9,+3659,spiral Gal
3945,251-1,1153.2,+6041,Barred spiral Gal
3949,202-1,1153.7,+4752,spiral Gal oval
3953,45-5,1153.8,+5220,spiral Gal round
3962,67-1,1154.7,-1358,elliptical Gal
3982,62-4,1156.5,+5508,spiral Gal round
3992,61-4,1157.6,+5323,spiral Gal M109
3998,229-1,1157.9,+5527,elliptical Gal
4026,223-1,1156.9,+5058,elliptical Gal
4027,296-2,1159.5,-1916,spiral Gal
4030,121-1,1200.4,-0106,spiral Gal round
4036,253-1,1201.4,+6153,elliptical Gal
4038,28-4,1201.9,-1852,spiral Gal
4041,252-1,1202.2,+6208,spiral Gal round
4051,56-4,1203.2,+4432,spiral Gal
4085,224-1,1205.4,+5012,spiral Gal
4088,206-1,1205.6,+5033,spiral Gal elongated
4102,225-1,1206.4,+5243,spiral Gal
4111,195-1,1207.1,+4304,elliptical Gal
4143,54-4,1209.6,+4232,elliptical Gal
4147,19-1,1210.1,+1833,Gal
4150,73-1,1210.6,+3024,elliptical Gal
4151,165-1,1210.5,+3924,peculiar Gal
4179,9-1,1212.9,+0118,elliptical Gal edge-on
4203,175-1,1215.1,+3312,elliptical Gal
4214,95-1,1215.6,+3620,irregular Gal
4216,35-1,1215.9,+1309,spiral Gal edge-on
4245,74-1,1217.6,+2936,spiral Gal
4251,89-1,1218.1,+2810,spiral Gal
4258,43-5,1219.0,+4718,spiral Gal M106
4261,139-2,1219.4,+0549,elliptical Gal
4273,569-2,1219.9,+0521,spiral Gal
4274,75-1,1219.8,+2937,spiral Gal
4278,90-1,1220.1,+2917,elliptical Gal
4281,573-2,1220.4,+0523,elliptical Gal
4293,5-5,1221.2,+1823,edge on Gal
4303,139-1,1219.4,+0428,spiral Gal M61
4314,76-1,1222.6,+2953,Barred spiral Gal
4346,210-1,1223.5,+4700,elliptical Gal
4350,86-2,1224.0,+1642,elliptical Gal
4361,65-1,1224.5,-1848,round Gal
4365,30-1,1224.5,+0719,elliptical Gal
4371,22-1,1224.9,+1142,Barred spiral Gal
4394,55-2,1225.9,+1813,Barred spiral Gal
4414,77-1,1226.4,+3113,spiral Gal
4419,113-1,1226.9,+1503,elliptical Gal
4429,65-2,1227.4,+1107,spiral Gal
4435,28.1-1,1227.7,+1305,elliptical Gal
4438,28.2-1,1227.8,+1301,spiral Gal elong
4442,156-2,1228.1,+0948,elliptical Gal
4448,91-1,1228.2,+2837,spiral Gal
4449,213-1,1228.2,+4406,irregular Gal
4450,56-2,1228.5,+1705,spiral Gal
4459,161-1,1229.0,+1359,elliptical Gal
4473,114-2,1229.8,+1326,elliptical Gal
4477,115-2,1230.0,+1438,spiral Gal
4478,124-2,1230.3,+1220,elliptical Gal
4485,197-1,1230.5,+4142,irregular Gal
4490,198-1,1230.6,+4138,spiral Gal
4494,83-1,1231.4,+2547,elliptical Gal
