Star  Name                          R.A.          Dec.         Mag
365  109 Vir                       14 46 14.9      1 53 34     3.72
366  Alpha Aps                     14 47 51.6    -79 02 41     3.83
367  7 Beta UMi Kochab             14 50 42.2     74 09 19     2.08
368  9 Alpha-2 Lib                 14 50 52.6    -16 02 30     2.75
369  37 Xi Boo *                   14 51 23.2     19 06 04     4.55
370  Beta Lup                      14 58 31.8    -43 08 02     2.68
371  Kappa Cen                     14 59 09.6    -42 06 15     3.13
372  42 Beta Boo                   15 01 56.6     40 23 26     3.50
373  20 Sigma Lib                  15 04 04.1    -25 16 55     3.29
374  Pi Lup                        15 05 07.1    -47 03 04     3.89
375  Kappa Kup                     15 11 56.0    -48 44 16     3.72
376  Zeta Lup                      15 12 17.0    -52 05 57     3.41
377  49 Delta Boo                  15 15 30.1     33 18 53     3.47
378  27 Beta Lib                   15 17 00.3     -9 22 58     2.61
379  Gamma TrA                     15 18 54.5    -68 40 46     2.89
380  13 Gamma UMi                  15 20 43.6     71 50 02     3.05
381  Delta Lup                     15 21 22.2    -40 38 51     3.22
382  S CrB ~                       15 21 24.0     31 21 00     5.80
383  Phi-1 Lup                     15 21 48.3    -36 15 41     3.56
384  Epsilon Lup                   15 22 40.7    -44 41 21     3.37
385  12 Iota Dra                   15 24 55.6     58 57 58     3.29
386  3 Beta CrB                    15 27 49.7     29 06 21     3.68
387  5 Alpha CrB Alphecca          15 34 41.2     26 42 53     2.23
388  13 Delta Ser                  15 34 48.0     10 32 21     3.80
389  Gamma Lup                     15 35 08.4    -41 10 00     2.78
390  38 Gamma Lib                  15 35 31.5    -14 47 23     3.91
391  39 Upsilon Lib                15 37 01.4    -28 08 06     3.58
392  40 Tau Lib                    15 38 39.3    -29 46 40     3.66
393  8 Gamma CrB                   15 42 44.5     26 17 44     3.84
394  24 Alpha Ser                  15 44 16.0      6 25 32     2.65
395  28 Beta Ser                   15 46 11.2     15 25 18     3.67
396  R CrB ~                       15 48 34.3     28 09 24     5.80
397  V CrB ~                       15 49 30.0     39 34 00     6.90
398  32 Mu Ser                     15 49 37.1     -3 25 49     3.54
399  R Ser ~                       15 50 41.6     15 08 00     5.50
400  37 Epsilon Ser                15 50 48.9      4 28 40     3.71
401  5 Chi Lup                     15 50 57.4    -33 37 38     3.95
402  Beta TrA                      15 55 08.4    -63 25 50     2.85
403  41 Gamma Ser                  15 56 27.1     15 39 42     3.85
404  5 Rho Sco                     15 56 53.0    -29 12 50     3.88
405  6 Pi Sco                      15 58 51.0    -26 06 50     2.89
406                                15 59 58.0    -38 24 33     3.60
407  Eta Lup                       16 00 07.1    -38 23 48     3.41
408  7 Delta Sco                   16 00 19.9    -22 37 18     2.32
409  8 Beta-1 Sco                  16 05 26.1    -19 48 19     2.64
410  9 Omega-1 Sco                 16 06 48.3    -20 40 09     3.96
411  RU Her ~                      16 10 12.0     25 03 00     6.80
412  1 Delta Oph                   16 14 20.6     -3 41 39     2.74
413  Delta TrA                     16 15 26.2    -63 41 08     3.85
414  2 Epsilon Oph                 16 18 19.1     -4 41 33     3.24
415  22 Tau Her                    16 19 44.3     46 18 48     3.89
416  20 Sigma Sco                  16 21 11.2    -25 35 34     2.89
417  20 Gamma Her                  16 21 55.1     19 09 11     3.75
418  Sigma 2054 *                  16 23 48.0     61 42 00     6.00
419  14 Eta Dra                    16 23 59.3     61 30 51     2.74
420  U Her ~                       16 25 47.6     18 53 33     6.60
421  V Oph ~                       16 26 43.7    -12 25 38     7.00
422  21 Alpha Sco Antares          16 29 24.3    -26 25 55     0.96
423  27 Beta Her                   16 30 13.1     21 29 22     2.77
424  10 Lambda Oph                 16 30 54.7      1 59 02     3.82
425  R Dra ~                       16 32 42.0     66 45 00     6.70
426  Gamma Aps                     16 33 27.1    -78 53 49     3.89
427  23 Tau Sco                    16 35 52.8    -28 12 58     2.82
428  13 Zeta Oph                   16 37 09.4    -10 34 02     2.56
429  40 Zeta Her *                 16 41 17.1     31 36 10     2.81
430  44 Eta Her                    16 42 53.7     38 55 20     3.53
431  Alpha TrA Atria               16 48 39.8    -69 01 39     1.92
432  Eta Ara                       16 49 47.0    -59 02 29     3.76
433  26 Epsilon Sco                16 50 09.7    -34 17 36     2.29
434  Mu-1 Sco                      16 51 52.1    -38 02 51     3.04
435  S Her ~                       16 51 53.7     14 56 29     5.80
436  Mu-2 Sco                      16 52 20.0    -38 01 03     3.57
437  Zeta Sco                      16 54 34.9    -42 21 41     3.62
438  27 Kappa Oph                  16 57 40.0      9 22 30     3.20
439  Zeta Ara                      16 58 37.1    -55 59 24     3.13
440  58 Epsilon Her                17 00 17.2     30 55 35     3.92
441  R Oph ~                       17 07 45.6    -16 05 33     5.90
442  22 Zeta Dra                   17 08 47.0     65 42 53     3.17
443  35 Eta Oph                    17 10 22.5    -15 43 30     2.43
444  Eta Sco                       17 12 09.0    -43 14 21     3.33
445  64 Alpha-1 Her ~              17 14 38.8     14 23 25     3.19
446  65 Delta Her                  17 15 01.8     24 50 21     3.14
447  67 Pi Her                     17 15 02.6     36 48 33     3.16
448  RS Her ~                      17 21 42.2     22 55 16     7.40
449  42 Theta Oph                  17 22 00.4    -24 59 58     3.27
450  Beta Ara                      17 25 17.9    -55 31 47     2.85
451  Gamma Ara                     17 25 23.5    -56 22 39     3.34
452  23 Beta Dra                   17 30 25.8     52 18 05     2.79
453  34 Upsilon Sco                17 30 45.6    -37 17 45     2.69
454  Delta Ara                     17 31 05.8    -60 41 01     3.62
455  Alpha Ara                     17 31 50.3    -49 52 34     2.95
456  35 Lambda Sco Shaula          17 33 36.4    -37 06 14     1.63
457  55 Alpha Oph Rasalhague       17 34 55.9     12 33 36     2.08
