$Tau Pup,6.49561,-50.3653,2.93
34 $Theta Gem,6.52473,33.574,3.6
16 $Omicron-1 CMa,6.54078,-24.1102,3.86
21 $Epsilon CMa,6.58375,-28.582,1.5
R $Lyn ~,7.01179,55.1951,7.8
22 $Sigma CMa,7.01431,-27.5606,3.46
24 $Omicron-2 CMa,7.03014,-23.5,3.03
43 $Zeta Gem ~,7.04065,20.3413,3.79
25 $Delta CMa,7.08234,-26.2336,1.86
R $CMi ~,7.08426,10.0125,7.
$Gamma-2 Vol,7.0845,-70.2957,3.8
28 $Omega CMa,7.14486,-26.4622,3.85
$Delta Vol,7.16498,-67.5727,3.98
$Pi Pup,7.17085,-37.0551,2.7
54 $Lambda Gem,7.18055,16.3225,3.58
55 $Delta Gem,7.20073,21.5856,3.53
31 $Eta CMa,7.24056,-29.1811,2.44
60 $Iota Gem,7.25435,27.4753,3.79
3 $Beta CMi,7.2709,8.1721,2.9
$Sigma Pup,7.29138,-43.1805,3.25
S $CMi ~,7.3243,8.1906,6.9
66 $Alpha Gem #Castor *,7.34359,31.5318,1.58
,7.38497,-26.4813,3.82
10 $Alpha CMi #Procyon,7.39181,5.133,.38
26 $Alpha Mon,7.41148,-9.3304,3.93
$Zeta Vol,7.41493,-72.3622,3.95
3 $Pup,7.43484,-28.5718,3.96
77 $Kappa Gem,7.44268,24.2352,3.57
,7.45152,-37.5807,3.59
78 $Beta Gem,7.45189,28.0134,1.14
7 $Xi Pup,7.49176,-24.5135,3.34
,7.5213,-40.3433,3.73
$Chi Car,7.56467,-52.5856,3.47
$Zeta Pup,8.0335,-40.0012,2.25
15 $Rho Pup,8.07326,-24.1815,2.81
$Gamma Vel,8.09319,-47.2012,1.78
16 $Zeta Cnc *,8.12126,17.3852,4.73
17 $Beta Cnc,8.16309,9.1108,3.52
R $Cnc ~,8.16339,11.4335,5.9
V $Cnc ~,8.21429,17.1708,6.8
$Epsilon Car,8.22308,-59.3034,1.86
,8.25395,-3.5423,3.9
$Beta Vol,8.25443,-66.0813,3.77
1 $Omicron UMa,8.30158,60.4305,3.36
$Beta Pyx,8.40061,-35.183,3.97
$Omicron Vel,8.40176,-52.5519,3.62
,8.40376,-46.3855,3.84
$Alpha Pyx,8.43355,-33.1111,3.68
47 $Delta Cnc,8.4441,18.0915,3.94
$Delta Vel,8.44422,-54.423,1.96
,8.46017,-46.023,3.91
11 $Epsilon Hya,8.46465,6.2507,3.38
S $Hya ~,8.53338,3.0407,7.2
,8.55028,-60.3841,3.84
16 $Zeta Hya,8.55236,5.5644,3.11
T $Hya ~,8.55397,-9.0829,7.2
9 $Iota UMa,8.59124,48.0229,3.14
,9.00383,41.4657,3.97
12 $Kappa UMa,9.03375,47.0923,3.6
,9.04092,-47.0552,3.75
$Lambda Vel,9.07597,-43.2557,2.21
13 $Sigma-2 UMa *,9.10231,67.0804,4.8
a $Car,9.10579,-58.5801,3.44
,9.11167,-62.1902,3.97
$Beta Car,9.13122,-69.4302,1.68
22 $Theta Hya,9.14218,2.1851,3.88
$Iota Car,9.17054,-59.1631,2.25
38 $Lyn,9.18506,36.4809,3.82
$Sigma 1338 *,9.20592,38.1118,5.86
40 $Alpha Lyn,9.21032,34.2333,3.13
$Kappa Vel,9.22068,-55.0038,2.5
30 $Alpha Hya,9.27352,-8.3931,1.98
$Psi Vel,9.30419,-40.28,3.6
N $Vel,9.31133,-57.0204,3.13
23 $UMa,9.31317,63.0342,3.67
R $Car,9.32147,-62.4719,3.8
25 $Theta UMa,9.32513,51.4038,3.17
35 $Iota Hya,9.39513,-1.0834,3.91
14 $Omicron Leo,9.4109,9.5332,3.52
R $LMi ~,9.45341,34.3044,6.2
17 $Epsilon Leo,9.4551,23.4627,2.98
$Upsilon Car,9.47061,-65.0418,2.97
R $Leo ~,9.47334,11.2543,4.9
29 $Upsilon UMa,9.50593,59.0219,3.8
24 $Mu Leo,9.52458,26.0025,3.88
$Phi Vel,9.56517,-54.3403,3.54
30 $Eta Leo,10.07199,16.4545,3.52
32 $Alpha Leo #Regulus,10.08222,11.5802,1.35
41 $Lambda Hya,10.10352,-12.2115,3.61
$Omega Car,10.13443,-70.0216,3.32
,10.14441,-42.0719,3.85
36 $Zeta Leo,10.16414,23.2502,3.44
q $Car,10.17049,-61.1956,3.4
33 $Lambda UMa,10.17057,42.5452,3.45
41 $Gamma-1 Leo,10.19583,19.5030,2.28
41 $Gamma-2 Leo,10.19586,19.5025,3.53
34 $Mu UMa,10.22197,41.2958,3.05
42 $Mu Hya,10.26053,-16.5011,3.81
,10.27527,-58.4422,3.82
p $Car,10.32014,-61.4107,3.32
47 $Rho Leo,10.32486,9.1824,3.85
,10.3718,-48.1332,3.84
$Theta Car,10.42574,-64.2339,2.76
R $UMa ~,10.44383,68.4632,5.8
$Mu Vel,10.46461,-49.2512,2.69
$Nu Hya,10.49374,-16.1137,3.11
46 $LMi,10.53186,34.1253,3.83
u $Car,10.53296,-58.5112,3.78
48 $Beta UMa,11.01504,56.2256,2.37
50 $Alpha UMa,11.03436,61.4503,1.79
,11.08353,-58.583,3.91
52 $Psi UMa,11.09397,44.2954,3.01
68 $Delta Leo,11.14064,20.3125,2.56
70 $Theta Leo,11.14143,15.2546,3.34
53 $Xi UMa *,11.18109,31.3145,3.79
54 $Nu UMa,11.18287,33.0539,3.48
12 $Delta Crt,11.19204,-14.4643,3.56
Pi $Cen,11.21004,-54.2927,3.89
78 $Iota Leo,11.23554,10.3145,3.94
1 $Lambda Dra,11.31242,69.1952,3.84
$Xi Hya,11.33001,-31.5127,3.54
$Lambda Cen,11.35468,-63.0111,3.13
$Lambda Mus,11.45364,-66.4343,3.64
63 $Chi UMa,11.4603,47.4645,3.71
94 $Beta Leo,11.49035,14.3419,2.14
5 $Beta Vir,11.50416,1.4553,3.61
64 $Gamma UMa,11.53497,53.4141,2.44
$Delta Cen,12.08215,-50.432,2.6
2 $Epsilon Crv,12.10074,-22.3711,3
$Rho Cen,12.11391,-52.2207,3.96
$Delta Cru,12.15086,-58.4455,2.8
69 $Delta UMa,12.15255,57.0157,3.31
4 $Gamma Crv,12.15483,-17.3231,2.59
R $Crv ~,12.19379,-19.152,5.8
15 $Eta Vir,12.19543,-0.4,3.89
$Epsilon Cru,12.21215,-60.2404,3.59
SS $Vir ~,12.25187,0.4742,7.2
$Alpha-1 Cru,12.26359,-63.0556,1.41
$Alpha-2 Cru,12.26365,-62.0558,1.88
$Sigma Cen,12.28024,-50.1351,3.91
7 $Delta Crv,12.29518,-16.3055,2.95
$Gamma Cru,12.31099,-57.0647,1.63
$Gamma Mus,12.32281,-72.0758,3.87
5 $Kappa Dra,12.33289,69.4717,3.87
9 $Beta Crv,12.34232,-23.2348,2.65
T $UMa ~,12.36232,59.2912,5.4
$Alpha Mus,12.3711,-69.0807,2.69
$Tau Cen,12.37421,-48.3228,3.86
R $Vir ~,12.38299,6.5918,7.08
$Gamma Cen,12.41309,-48.5734,2.17
29 $Gamma Vir *,12.41395,-1.2657,2.75
S $UMa ~,12.4354,61.06,7
$Beta Mus,12.46169,-68.0629,3.05
$Beta Cru,12.47432,-59.4119,1.25
35 $Com *,12.53192,21.1425,4.9
77 $Epsilon UMa,12.54017,55.5735,1.77
43 $Delta Vir,12.55361,3.2351,3.38
12 $Alpha-2 CVn,12.56016,38.1906,2.9
47 $Epsilon Vir,13.02105,10.5733,2.83
$Delta Mus,13.02163,-71.3256,3.62
46 $Gamma Hya,13.18552,-23.1017,3
V $CVn ~,13.193,45.32,6.52
$Iota Cen,13.20358,-36.4244,2.75
79 $Zeta-1 UMa #Mizar,13.23555,54.5531,2.27
79 $Zeta-2 UMa,13.23563,54.5518,3.95
67 $Alpha Vir Spica,13.25115,-11.0941,.98
80 $UMa #Alcor,13.25134,54.5917,4.01
,13.31026,-39.2427,3.88
S $Vir ~,13.33006,-7.1142,5.9
79 $Zeta Vir,13.34415,-0.3546,3.37
$Epsilon Cen,13.39532,-53.2758,2.3
85 $Eta UMa,13.47323,49.1848,1.86
R $CVn ~,13.48571,39.3233,6.9
$Nu Cen,13.49302,-41.4116,3.41
$Mu Cen,13.49369,-42.2825,3.04
8 $Eta Boo,13.5441,18.2351,2.68
$Zeta Cen,13.55323,-47.1717,2.55
$Phi Cen,13.58162,-42.0602,3.83
$Upsilon-1 Cen,13.58407,-44.4813,3.87
$Beta Cen,14.03494,-60.2222,.61
11 $Alpha Dra,14.04232,64.2233,3.65
49 $Pi Hya,14.06222,-26.4056,3.27
5 $Theta Cen,14.06409,-36.2212,2.06
16 $Alpha Boo #Arcturus,14.15396,19.1057,-.04
R $Cam ~,14.1748,83.5,6.97
$Iota Lup,14.19241,-46.0328,3.55
V $Boo ~,14.2948,38.52,7
25 $Rho Boo,14.31497,30.2217,3.58
27 $Gamma Boo,14.32046,38.183,3.03
$Eta Cen,14.35303,-42.0928,2.31
R $Boo ~,14.3712,26.44,6.2
$Alpha-2 Cen,14.39354,-60.5013,1.39
$Alpha-1 Cen,14.39367,-60.5002,.0
30 $Zeta Boo *,14.41088,13.4342,3.78
$Alpha Lup,14.41557,-47.2317,2.3
$Alpha Cir,14.4228,-64.5843,3.19
107 $Mu Vir,14.43035,-5.393,3.88
36 $Epsilon Boo,14.44591,27.0427,2.37
109 $Vir,14.46149,1.5334,3.72
$Alpha Aps,14.47516,-79.0241,3.83
7 $Beta UMi,14.50422,74.0919,2.08
9 $Alpha-2 Lib,14.50526,-16.023,2.75
37 $Xi Boo *,14.51232,19.0604,4.55
$Beta Lup,14.58318,-43.0802,2.68
$Kappa Cen,14.59096,-42.0615,3.13
42 $Beta Boo,15.01566,40.2326,3.5
20 $Sigma Lib,15.04041,-25.1655,3.29
Pi $Lup,15.05071,-47.0304,3.89
$Kappa Kup,15.1156,-48.4416,3.72
$Zeta Lup,15.1217,-52.0557,3.41
49 $Delta Boo,15.15301,33.1853,3.47
27 $Beta Lib,15.17003,-9.2258,2.61
$Gamma TrA,15.18545,-68.4046,2.89
13 $Gamma UMi,15.20436,71.5002,3.05
$Delta Lup,15.21222,-40.3851,3.22
S $CrB ~,15.2124,31.22,5.8
$Phi-1 Lup,15.21483,-36.1541,3.56
$Epsilon Lup,15.22407,-44.4121,3.37
12 $Iota Dra,15.24556,58.5758,3.29
3 $Beta CrB,15.27497,29.0621,3.68
5 $Alpha CrB,15.34412,26.4253,2.23
13 $Delta Ser,15.3448,10.3221,3.8
$Gamma Lup,15.35084,-41.1,2.78
38 $Gamma Lib,15.35315,-14.4723,3.91
39 $Upsilon Lib,15.37014,-28.0806,3.58
40 $Tau Lib,15.38393,-29.464,3.66
8 $Gamma CrB,15.42445,26.1744,3.84
24 $Alpha Ser,15.4416,6.2532,2.65
28 $Beta Ser,15.46112,15.2518,3.67
R $CrB ~,15.48343,28.0924,5.8
V $CrB ~,15.493,39.34,6.9
32 $Mu Ser,15.49371,-3.2549,3.54
R $Ser ~,15.50416,15.08,5.5
37 $Epsilon Ser,15.50489,4.284,3.71
5 $Chi Lup,15.50574,-33.3738,3.95
$Beta TrA,15.55084,-63.255,2.85
41 $Gamma Ser,15.56271,15.3942,3.85
5 $Rho Sco,15.5653,-29.125,3.88
6 $Pi Sco,15.5851,-26.065,2.89
,15.5958,-38.2433,3.6
$Eta Lup,16.00071,-38.2348,3.41
7 $Delta Sco,16.00199,-22.3718,2.32
8 $Beta-1 Sco,16.05261,-19.4819,2.64
9 $Omega-1 Sco,16.06483,-20.4009,3.96
RU $Her ~,16.1012,25.04,6.8
1 $Delta Oph,16.14206,-3.4139,2.74
$Delta TrA,16.15262,-63.4108,3.85
2 $Epsilon Oph,16.18191,-4.4133,3.24
22 $Tau Her,16.19443,46.1848,3.89
20 $Sigma Sco,16.21112,-25.3534,2.89
20 $Gamma Her,16.21551,19.0911,3.75
Sigma 2054 *,16.2348,61.42,6
14 $Eta Dra,16.23593,61.3051,2.74
U $Her ~,16.25476,18.5333,6.6
V $Oph ~,16.26437,-12.2538,7
21 $Alpha Sco #Antares,16.29243,-26.2555,.96
27 $Beta Her,16.30131,21.2922,2.77
10 $Lambda Oph,16.30547,1.5902,3.82
R $Dra ~,16.3242,66.45,6.7
$Gamma Aps,16.33271,-78.5349,3.89
23 $Tau Sco,16.35528,-28.1258,2.82
13 $Zeta Oph,16.37094,-10.3402,2.56
40 $Zeta Her *,16.41171,31.361,2.81
44 $Eta Her,16.42537,38.552,3.53
$Alpha TrA,16.48398,-69.0139,1.92
$Eta Ara,16.4947,-59.0229,3.76
26 $Epsilon Sco,16.50097,-34.1736,2.29
$Mu-1 Sco,16.51521,-38.0251,3.04
S $Her ~,16.51537,14.5629,5.8
$Mu-2 Sco,16.522,-38.0103,3.57
$Zeta Sco,16.54349,-42.2141,3.62
27 $Kappa Oph,16.574,9.223,3.2
$Zeta Ara,16.58371,-55.5924,3.13
58 $Epsilon Her,17.00172,30.5535,3.92
R $Oph ~,17.07456,-16.0533,5.9
22 $Zeta Dra,17.0847,65.4253,3.17
35 $Eta Oph,17.10225,-15.433,2.43
$Eta Sco,17.1209,-43.1421,3.33
64 $Alpha-1 Her ~,17.14388,14.2325,3.19
65 $Delta Her,17.15018,24.5021,3.14
67 $Pi Her,17.15026,36.4833,3.16
RS $Her ~,17.21422,22.5516,7.4
42 $Theta Oph,17.22004,-24.5958,3.27
$Beta Ara,17.25179,-55.3147,2.85
$Gamma Ara,17.25235,-56.2239,3.34
23 $Beta Dra,17.30258,52.1805,2.79
34 $Upsilon Sco,17.30456,-37.1745,2.69
$Delta Ara,17.31058,-60.4101,3.62
$Alpha Ara,17.31503,-49.5234,2.95
35 $Lambda Sco,17.33364,-37.0614,1.63
55 $Alpha Oph,17.34559,12.3336,2.08
$Theta Sco,17.3719,-42.5952,1.87
55 $Xi Ser,17.3735,-15.2355,3.54
85 $Iota Her,17.39277,46.0023,3.8
$Kappa Sco,17.4229,-39.0148,2.41
60 $Beta Oph,17.43282,4.3402,2.77
$Eta Pav,17.45438,-64.4325,3.62
86 $Mu Her,17.46273,27.4315,3.42
$Iota-1 Sco,17.47349,-40.0737,3.03
62 $Gamma Oph,17.47534,2.4226,3.75
G $Sco *,17.49513,-37.0236,3.21
32 $Xi Dra,17.53315,56.5221,3.75
91 $Theta Her,17.56151,37.1502,3.86
33 $Gamma Dra,17.56362,51.292,2.23
92 $Xi Her,17.57457,29.1452,3.7
64 $Nu Oph,17.59014,-9.4625,3.34
67 $Oph,18.00385,2.5553,3.97
69 $Tau Oph *,18.03048,-8.1049,4.79
70 $Oph *,18.05272,2.2958,4.03
10 $Gamma Sgr,18.05483,-30.2526,2.99
$Theta Ara,18.06376,-50.053,3.66
72 $Oph,18.07208,9.335,3.73
103 $Omicron Her,18.07324,28.4545,3.83
T $Her ~,18.09061,31.0116,6.8
13 $Mu Sgr,18.13456,-21.0332,3.86
W $Lyr ~,18.1454,36.4,7.3
$Eta Sgr,18.17375,-36.4542,3.11
19 $Delta Sgr,18.20595,-29.4942,2.7
44 $Chi Dra,18.2103,72.4358,3.57
58 $Eta Ser,18.21184,-2.5356,3.26
109 $Her,18.23417,21.4611,3.84
20 $Epsilon Sgr,18.24102,-34.2305,1.85
$Alpha Tel,18.26582,-45.5806,3.51
22 $Lambda Ser,18.27581,-25.2518,2.81
$Alpha Sct,18.35122,-8.1439,3.85
3 $Alpha Lyr #Vega,18.36562,38.4701,.03
X $Oph ~,18.38208,8.5002,5.9
4 $Epsilon Lyr *,18.44201,39.4015,4.67
27 $Phi Sgr,18.45392,-26.5927,3.17
R $Sct ~,18.47288,-5.4218,5.2
10 $Beta Lyr ~,18.50046,33.2146,3.45
34 $Sigma Sgr,18.55157,-26.1748,2.02
37 $Xi-2 Sgr,18.57436,-21.0624,3.51
14 $Gamma Lyr,18.58564,32.4122,3.24
38 $Zeta Sgr,19.02365,-29.5249,2.59
39 $Omicron Sgr,19.04408,-21.443,3.77
17 $Zeta Aql,19.05244,13.5148,2.99
16 $Lambda Aql,19.06147,-4.5257,3.44
R $Aql ~,19.0622,8.1348,5.4
$Gamma CrA *,19.0624,-37.04,4.2
40 $Tau Sgr,19.06562,-27.4013,3.32
41 $Pi Sgr,19.09456,-21.0125,2.89
